"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R12","RESC2012N","19.875mm","31.3mm","19.875mm","31.3mm","19.875mm","30.4mm","T","90.00","10k"
"R11","RESC2012N","10.05mm","12.175mm","10.05mm","12.175mm","10.05mm","11.275mm","T","90.00","10k"
"D5","CAPC2012N","20.1mm","34.8mm","20.1mm","34.8mm","20.1mm","35.65mm","T","270.00","LED2"
"D4","CAPC2012N","12.75mm","12.925mm","12.75mm","12.925mm","13.6mm","12.925mm","T","180.00","LED2"
"C15","CAPC2012N","5.35mm","23.6mm","5.35mm","23.6mm","4.5mm","23.6mm","T","360.00","Cap"
"U4","TO252-3N","10.175mm","29.775mm","10.175mm","31.025mm","7.895mm","26.675mm","T","90.00","7805"
"U2","751-02_N","6.35mm","10.675mm","6.35mm","10.675mm","8.2551mm","13.075mm","T","270.00","LM358D"
"R24","RESC2012N","22.8499mm","39.1001mm","22.8499mm","39.1001mm","21.9499mm","39.1001mm","T","360.00","Res2"
"R23","RESC2012N","20.15mm","38.3mm","20.15mm","38.3mm","20.15mm","37.4mm","T","90.00","Res2"
"R22","RESC2012N","22.85mm","33.3mm","22.85mm","33.3mm","23.75mm","33.3mm","T","180.00","Res2"
"R21","RESC2012N","23.9mm","7.55mm","23.9mm","7.55mm","23.9mm","8.45mm","T","270.00","Res2"
"R18","RESC2012N","2.6501mm","8.675mm","2.6501mm","8.675mm","2.6501mm","7.775mm","T","90.00","Res2"
"R17","RESC2012N","6.1501mm","2.975mm","6.1501mm","2.975mm","6.1501mm","3.875mm","T","270.00","Res2"
"R15","RESC2012N","3.4501mm","2.175mm","3.4501mm","2.175mm","4.35mm","2.175mm","T","180.00","Res2"
"R13","RESC2012N","23.9mm","11.05mm","23.9mm","11.05mm","23.9mm","10.15mm","T","90.00","Res2"
"R10","RESC2012N","10.0501mm","2.975mm","10.05mm","2.975mm","10.0501mm","3.875mm","T","270.00","100k"
"R9","RESC2012N","10.05mm","8.675mm","10.0501mm","8.675mm","10.05mm","7.775mm","T","90.00","100k"
"R7","RESC2012N","3.4501mm","5.975mm","3.4501mm","5.975mm","4.35mm","5.975mm","T","180.00","Res2"
"R6","RESC2012N","12.35mm","23.55mm","12.35mm","23.55mm","11.45mm","23.55mm","T","360.00","Res2"
"R4","RESC2012N","8.85mm","23.55mm","8.85mm","23.55mm","9.75mm","23.55mm","T","180.00","Res2"
